"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.workers.home","med.wage.workers.home","hi.wage.workers.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.workers.work","med.wage.workers.work","hi.wage.workers.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360010148032",1831,713,15238.71,0.54,0.28,1412,0.27,12.16,2.1,28346,0.02,16278,9819,6431,21,4.6,66,0.07,1.2,0.05,1534,775,0.79,0.84,0.16,412385,395114,0.78685,20,159,517,602,150,190,262,67,22,12,15,5,13,0,0,0,0.944803,23,18,26,0.109299,0,13622.8318,23095.7923
"360010001002",1061,361,88.18,0.36,0.19,976,0.17,6.69,1.39,16872,0.11,10537,6512,3828,148,9.4,71,6.71,8.6,4.09,1407,769,0.15,0.32,0.68,412385,395114,0.66233,98,281,75,300,79,145,76,135,7,0,64,53,11,0,0,0,0.778093,56,20,59,0.343511,0,91895.7771,106365.4238
"360010005011",1320,588,27.15,0.3,0.15,750,0.15,4.84,1.18,14890,0.16,9197,5525,3378,221,9.7,74,45.49,9.4,21.65,NA,750,0.05,0.05,0.95,412385,395114,0.80815,233,263,99,431,146,180,105,123,8,18,68,24,0,0,5,0,0.767775,17,71,35,0.217699,0,92573.9718,110006.5886
"360010002003",1365,403,53.61,0.35,0.19,986,0.15,5.73,1.22,15238,0.15,9428,5686,3457,214,9.8,75,13.09,9.1,7.52,1671,675,0.09,0.31,0.69,412385,395114,0.74644,459,423,19,575,211,272,92,496,1,12,1,44,150,0,29,259,0.615096,143,96,257,0.761905,0,97036.637,110194.6654
"360010001001",1102,439,496.83,0.4,0.21,1098,0.19,7.05,1.52,18830,0.1,11538,7091,4272,132,9.4,71,6.42,7.3,0.88,1409,815,0.33,0.48,0.52,412385,395114,0.74186,115,199,140,562,159,254,149,1974,140,310,1168,315,27,3,11,0,0.60601,193,542,1239,5.048593,0,86326.4848,106303.2843
"360010002001",2828,1195,358.13,0.27,0.11,564,0.16,4.73,1.27,16186,0.14,9855,5928,3672,191,9.8,75,18.99,8.8,3.34,1091,487,0.09,0.13,0.87,412385,395114,0.62543,662,368,175,1010,333,456,221,2086,51,28,206,249,110,29,1408,5,0.541171,312,908,866,1.821834,0,95501.9437,109896.7345
"360010002002",764,384,51.06,0.33,0.18,912,0.15,5.36,1.22,15436,0.15,9485,5704,3502,210,9.7,75,15.38,9.1,7.52,1239,588,0.08,0.5,0.5,412385,395114,0.71341,41,342,168,302,108,138,56,96,0,1,0,18,2,64,11,0,0.596864,19,19,58,0.218679,0,96246.1083,110361.3991
"360010002004",378,227,47.52,0.26,0.11,585,0.15,2.62,1.17,14021,0.19,8987,5451,3181,267,9.8,75,7.86,9.2,4.78,NA,585,0,0.18,0.82,412385,395114,0.70098,301,69,69,243,76,125,42,329,0,27,85,33,131,3,47,3,0.778979,108,124,97,1.179211,0,97756.8102,111818.0043
"360010003002",1825,484,83.25,0.37,0.21,1050,0.16,6.03,1.31,15836,0.14,9951,6099,3592,195,9.6,73,11.39,8.9,5.81,1344,920,0.13,0.31,0.69,412385,395114,0.67004,287,320,153,748,213,341,194,66,9,11,23,16,0,0,6,1,0.872149,22,29,15,0.107843,0,86468.2687,103873.7512
"360010003001",1242,623,646.5,0.44,0.24,1231,0.2,7.85,1.59,19455,0.09,11991,7408,4414,127,9.5,72,3.17,6.4,0.96,1443,923,0.53,0.59,0.41,412385,395114,0.85386,98,396,267,365,83,158,124,4779,1010,1432,346,456,415,11,1104,5,0.805861,964,1682,2133,8.183219,0,88942.1462,106936.4477
